brands,categories,code,countries,image_url,ingredients_text,labels,nova_group,nutriscore_grade,nutrition_grades,packaging,product_name,quantity
Payless,Instant noodles,4800016561436,Philippines,https://images.openfoodfacts.org/images/products/480/001/656/1436/front_en.17.400.jpg,"Noodles: Wheat Flour, Vegetable Oil (Palm Oil, Green Tea Extract), Salt, Stabilizer (Guar Gum), Acidity Regulators (Sodium Carbonate, Potassium Carbonate), Emulsifier (Polyphosphate). Seasoning: Sugar, Coconut Oil, Soy Sauce (Water, Soybeans, Salt, Potassium Sorbate), Salt, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Inosinate, Disodium 5'-Guanylate), Spices (Red Pepper, Onion, Garlic), Artificial Flavors, Hydrolyzed Soy Protein, Color (Caramel Color, Paprika Extract), Anticaking Agent (Silicon Dioxide)",,4.0,e,e,,payless pc sweet & spicy 128g,128 g
geki,"Fats, Instant noodles",8901014000456,India,https://images.openfoodfacts.org/images/products/890/101/400/0456/front_en.27.400.jpg,,,2.0,unknown,unknown,,koren veg noodles,70
"Maggi, Nestlé","Cereals and their products, Pastas, Ravioli with vegetables, Canned raviolis",4005500330318,"Germany, Singapore",https://images.openfoodfacts.org/images/products/400/550/033/0318/front_de.135.400.jpg,"74,5% Tomaten-Gemüsesauce [Wasser*, 22,8% Tomatenmark*, 3% Karotten*, Zwiebeln, Lauch Zucker, 1,4% Erbsen, Sonnenblumenöl, 1% Mais, Jodsalz (Salz, Kaliumjodat), grüne Gemüsepaprika, Maisstärke, Weinessig Knoblauch, Oregano, Pfeffer, natürliches Estragonaroma, natürliche Aromen* (mit WEIZEN), 25,5% Ravioli [HARTWEIZENGRIESS] Wasser, WEIZENMEHL, Paniermehl (WEIZENMEHL, Jodsalz (Salz, Kaliumjodat), Hefe), WEIZENEIWEISS Kartoffelstärke, Erbsenmehl, Jodsalz (Salz, Kaliumjodat), Gewürze*, Karotten*, Spinat*, Kurkumaextrakt*, Sonnenblumenöl, natürliches Basilikumaroma. Kann SELLERIE, EIER, MILCH, SENF und SOJA enthalten. *natürliche Zutaten","European Vegetarian Union Vegan, Green Dot, Nutriscore Grade B",4.0,c,c,"Metal,Can,Canned",Ravioli Gemüse,800g
Ottogi,"Cereals and their products, Instant noodles",0645175570288,"France, New Zealand",https://images.openfoodfacts.org/images/products/064/517/557/0288/front_en.16.400.jpg,"Noodles (84%): farina di frumento, amido modificato (E1420), olio di palma, olio di girasole, sale, glutine di frumento, estratto d'aglio, olio emulsionato [sciroppo di oligosaccaridi, olio di sale (antiossidante (E306)), emulsionanti: (E322(soia), E471)], correttore di acidità (E450, E451, E500, E501), estratto di tè verde, colorante (E101). Condimento in polvere (1596): sale, zucchero, esaltatori di sapidità (E621, E631, E627), glucosio, aglio in polvere, condimento al lievito in polvere (destrina, sale, estratto di lievito, frumento, soia), proteine vegetali idrolizzate (soia, frumento), salsa di soia in polvere (soia, frumento). condimento alla salsa di soia in polvere (salsa di soia, cipolla, estratto di lievito, glucosio, frumento), olio di palma in polvere (olio di palma, sciroppo di mais, destrina), condimento in polvere di peperoncino rosso (peperoncino rosso, aglio, sale, salsa di soia, frumento), amido di mais, riso tostato in polvere, peperoncino rosso in polvere, pepe nero in polvere, estratto di peperoncino in polvere (soia), estratto di lievito in polvere, estratto di peperoncino (soia), correttore di acidità (E296). Mix di verdure disidratate (196): cavolo cinese, carota, proteine vegetali testurizzate (soia, frumento), cipollotto, funghi, peperoncino rosso.",,4.0,unknown,unknown,,"Ottogi Noodle Instant, Asian Style, Jim Ramen (Hot)",65 g
Yum Yum,"Instant noodles, Kruiden, Noedelsoep, Noedelsoep garnalen, Olie, Sauzen, Soepen",8852018101055,"Belgium, Germany",https://images.openfoodfacts.org/images/products/885/201/810/1055/front_en.215.400.jpg,"_Weizen_mehl, Palmöl (Palmöl, Antioxidationsmittel: E319, E306), Tapiokastärke, Salz, Zucker, Gemüse (Knoblauch, Zwiebel, Frühlingszwiebel), Gewürze (Chili, Galgant), Geschmacksverstärker: E621, E635, Säuerungsmittel: E296, E330, _Soja_saucenpulver (_Soja_bohnen, Glukosesirup, Maltodextrin, Farbstoff: E150c), Säureregulatoren: E500, E452, E451, Maltodextrin, Maisstärke, _Fisch_sauce (_Sardellen_extrakt, Salz, Zucker), _Garnelen_ 0,2%, Zitronengras, Aroma, Verdickungsmittel: E466, Hefeextrakt, Farbstoff: E160c.","Halal, Roundtable on Sustainable Palm Oil",4.0,unknown,unknown,"Plastic,PP - Polypropylene,Bag,de:Produkt",Shrimp Flavour,60g
,Instant noodles,0089686122046,"Morocco, United Arab Emirates",https://images.openfoodfacts.org/images/products/008/968/612/2046/front_fr.7.400.jpg,,,,unknown,unknown,,Indomie beef flavor noodles,
"3 Glocken, Ja!","Cereals and their products, Fusilli",4388860679120,"Germany, Ireland",https://images.openfoodfacts.org/images/products/438/886/067/9120/front_en.15.400.jpg,,,,unknown,unknown,Plastic,Nudeln - Fusilli,500g
Knorr,"Dehydrated soups, Instant noodle soups, Soups (prepared) (Shelf Stable)",8720182691835,France,https://images.openfoodfacts.org/images/products/872/018/269/1835/front_fr.34.400.jpg,"Nouilles chinoises 51% (farine de BLÉ, sel, blanc d'ŒUF), amidon, arômes, poireau 4,5%, carotte, oignon, jus de citron en poudre (maltodextrine, jus de citron), champignon noir 2,2%, chou blanc, ail 1,6%, chlorure de potassium, sel, sucre, gingembre 1%, épices 0,7% (cardamome, curcuma, carvi, cannelle, persil tubéreux), sauce soja en poudre (maltodextrine, sauce soja (graines de SOJA, BLÉ), sel), graines de coriandre en poudre 0,3%, piment de Cayenne 0,06%, extrait de levure. Peut contenir : SEIGLE, ORGE, AVOINE, LAIT, CÉLERI, MOUTARDE.","No preservatives, No colorings, Nutriscore Grade B, Triman",4.0,b,b,,Knorr Soupe Déshydratée Chinoise 2 Portions,45 g
Barilla,"Dry pastas, Fusilli",8076802085981,"Australia, Austria, Belgium, Bulgaria, Croatia, Czech Republic, France, Germany, Italy, Luxembourg, Morocco, Portugal, Romania, Singapore, Switzerland, Ukraine, United Kingdom",https://images.openfoodfacts.org/images/products/807/680/208/5981/front_en.44.400.jpg,"Hartweizengrieß, Wasser.","Vegetarian, Halal, Kosher, Made in Italy, de:Kascher, de:Vegano, de:Vegetariano",1.0,a,a,"Karton,Ravna ljepenka,en:Packet,en:Card-box",Barilla Fusilli N°98,500 g
Barilla,"Spaghetti, Capellini, Dry durum wheat pasta",8076800195019,"Australia, Belgium, Bulgaria, France, Germany, Italy, Japan, Luxembourg, Moldova, Sweden, Switzerland, United States",https://images.openfoodfacts.org/images/products/807/680/019/5019/front_en.2385.400.jpg,"Semola di grano duro, acqua.","Vegetarian, Halal, Kosher, Green Dot, de:Recyclebare Verpackung, fr:n-1-in-italia, it:Kascher, it:Végétarien",1.0,a,a,"Кутия,Картон,Фолио,Друг картон,it:Enveloppage",Capellini Nr. 1,500 g
